"","folio","ls","ls00","pid_link"
"594",131000,4,4,"0013100004"
"595",131000,5,5,"0013100005"
"596",132000,1,1,"0013200001"
"597",132000,2,2,"0013200002"
"598",132000,3,3,"0013200003"
"599",132000,4,4,"0013200004"
"600",132000,5,5,"0013200005"
"601",132000,6,6,"0013200006"
"602",133000,1,1,"0013300001"
"603",133000,2,2,"0013300002"
"604",133000,3,3,"0013300003"
"605",133000,4,4,"0013300004"
"606",133000,5,5,"0013300005"
"607",135000,1,1,"0013500001"
"608",135000,2,2,"0013500002"
"609",135000,3,3,"0013500003"
"610",135000,4,4,"0013500004"
"611",135000,5,5,"0013500005"
"612",136000,1,1,"0013600001"
"613",136000,2,2,"0013600002"
"614",136000,3,3,"0013600003"
"615",136000,4,4,"0013600004"
"616",136000,5,5,"0013600005"
"617",137000,1,1,"0013700001"
"618",137000,2,2,"0013700002"
"619",137000,3,3,"0013700003"
"620",137000,4,4,"0013700004"
"621",137000,5,5,"0013700005"
"622",138000,1,1,"0013800001"
"623",141000,1,1,"0014100001"
"624",141000,2,2,"0014100002"
"625",141000,3,3,""
"626",141000,4,4,"0014100004"
"627",141003,1,1,"0014100301"
"628",141003,2,2,"0014100003"
"629",141003,3,3,"0014100303"
"630",142000,1,1,"0014200001"
"631",142000,2,2,"0014200002"
"632",142000,3,3,"0014200003"
"633",142000,4,4,"0014200004"
"634",142000,5,5,"0014200005"
"635",144000,1,1,"0014400001"
"636",144000,2,2,"0014400002"
"637",144000,3,3,"0014400003"
"638",145000,1,1,"0014500001"
"639",145000,2,2,"0014500002"
"640",146000,1,1,"0014600001"
"641",146000,2,2,"0014600002"
"642",146000,3,3,"0014600003"
"643",147000,1,1,"0014700001"
"644",147000,2,2,"0014700002"
"645",147000,3,3,"0014700003"
"646",147000,4,4,"0014700004"
"647",148000,1,1,"0014800001"
"648",148000,2,2,"0014800002"
"649",148000,3,3,"0014800003"
"650",149000,1,1,"0014900001"
"651",149000,2,2,"0014900002"
"652",149000,3,3,"0014900003"
"653",149000,4,4,""
"654",149004,1,1,"0014900401"
"655",149004,2,2,"0014900402"
"656",149004,3,3,"0014900403"
"657",149004,4,4,"0014900404"
"658",149004,5,5,"0014900004"
"659",149004,6,6,"0014900406"
"660",150000,1,1,"0015000001"
"661",150000,2,2,"0015000002"
"662",150000,3,3,"0015000003"
"663",151000,1,1,"0015100001"
"664",151000,2,2,"0015100002"
"665",151000,3,3,"0015100003"
"666",151000,4,4,"0015100004"
"667",154000,1,1,"0015400001"
"668",154000,2,2,"0015400002"
"669",154000,3,3,"0015400003"
"670",154000,4,4,"0015400004"
"671",154000,5,5,"0015400005"
"672",154000,6,6,"0015400006"
"673",157000,1,1,"0015700001"
"674",157000,2,2,"0015700002"
"675",157000,3,3,"0015700003"
"676",157000,4,4,"0015700004"
"677",157000,5,5,"0015700005"
"678",157000,6,6,"0015700006"
"679",157000,7,7,"0015700007"
"680",157000,8,8,"0015700008"
"681",157000,9,9,"0015700009"
"682",158000,1,1,"0015800001"
"683",158000,2,2,"0015800002"
"684",158000,3,3,"0015800003"
"685",158000,4,4,""
"686",158000,5,5,""
"687",158000,6,6,"0015800006"
"688",158000,7,7,"0015800007"
"689",158000,8,8,""
"690",158000,9,9,""
"691",158000,10,10,"0015800010"
"692",158000,11,11,"0015800011"
"693",158004,1,1,"0015800004"
"694",158004,2,2,"0015800008"
"695",158004,3,3,"0015800009"
"696",158005,1,1,"0015800005"
"697",158005,2,2,"0015800502"
"698",158005,3,3,"0015800503"
"699",159000,1,1,"0015900001"
"700",159000,2,2,"0015900002"
"701",159000,3,3,"0015900003"
"702",160000,1,1,"0016000001"
"703",160000,2,2,"0016000002"
"704",160000,3,3,"0016000003"
"705",160000,4,4,"0016000004"
"706",160000,5,5,"0016000005"
"707",160000,6,6,"0016000006"
"708",160000,7,7,"0016000007"
"709",160000,8,8,"0016000008"
"710",160000,9,9,"0016000009"
"711",164000,1,1,"0016400001"
"712",164000,2,2,"0016400002"
"713",164000,3,3,"0016400003"
"714",164000,4,4,"0016400004"
"715",164000,5,5,"0016400005"
"716",165000,1,1,"0016500001"
