Instituto Nacional de Estadística y Geografía,,,,,,
INEGI. Censos Económicos 2009. Resultados definitivos,,,,,,
Fecha de consulta: 26/08/2021 04:44:53 a. m.,,,,,,
,,,,,,
Entidad,Municipio,Actividad Económica,H001A Personal ocupado total,"H001B Personal ocupado total, hombres","H001C Personal ocupado total, mujeres",
06 Colima,001 Armería,311    Industria alimentaria ,410,242,168,
06 Colima,001 Armería,312    Industria de las bebidas y del tabaco ,16,15,1,
06 Colima,001 Armería,314    Fabricación de productos textiles excepto prendas de vestir ,16,9,7,
06 Colima,001 Armería,315    Fabricación de prendas de vestir ,7,0,7,
06 Colima,001 Armería,321    Industria de la madera ,34,32,2,
06 Colima,001 Armería,322    Industria del papel ,1,1,0,
06 Colima,001 Armería,323    Impresión e industrias conexas ,4,4,0,
06 Colima,001 Armería,325    Industria química ,9,9,0,
06 Colima,001 Armería,327    Fabricación de productos a base de minerales no metálicos ,94,72,22,
06 Colima,001 Armería,332    Fabricación de productos metálicos ,27,27,0,
06 Colima,001 Armería,337    Fabricación de muebles colchones y persianas ,11,10,1,
06 Colima,001 Armería,339    Otras industrias manufactureras ,31,18,13,
27 Tabasco,001 Balancán,311    Industria alimentaria ,282,120,162,
27 Tabasco,001 Balancán,312    Industria de las bebidas y del tabaco ,75,52,23,
27 Tabasco,001 Balancán,314    Fabricación de productos textiles excepto prendas de vestir ,2,1,1,
27 Tabasco,001 Balancán,315    Fabricación de prendas de vestir ,27,9,18,
27 Tabasco,001 Balancán,316    Curtido y acabado de cuero y piel y fabricación de productos de cuero piel y materiales sucedáneos ,1,1,0,
27 Tabasco,001 Balancán,321    Industria de la madera ,13,13,0,
27 Tabasco,001 Balancán,322    Industria del papel ,3,0,3,
27 Tabasco,001 Balancán,323    Impresión e industrias conexas ,4,2,2,
27 Tabasco,001 Balancán,327    Fabricación de productos a base de minerales no metálicos ,21,20,1,
27 Tabasco,001 Balancán,332    Fabricación de productos metálicos ,29,28,1,
27 Tabasco,001 Balancán,337    Fabricación de muebles colchones y persianas ,27,24,3,
27 Tabasco,001 Balancán,339    Otras industrias manufactureras ,2,1,1,
04 Campeche,001 Calkiní,311    Industria alimentaria ,317,164,153,
04 Campeche,001 Calkiní,312    Industria de las bebidas y del tabaco ,31,24,7,
04 Campeche,001 Calkiní,313    Fabricación de insumos textiles y acabado de textiles ,66,17,49,
04 Campeche,001 Calkiní,314    Fabricación de productos textiles excepto prendas de vestir ,504,58,446,
04 Campeche,001 Calkiní,315    Fabricación de prendas de vestir ,2217,1061,1156,
04 Campeche,001 Calkiní,316    Curtido y acabado de cuero y piel y fabricación de productos de cuero piel y materiales sucedáneos ,5,1,4,
04 Campeche,001 Calkiní,321    Industria de la madera ,124,72,52,
04 Campeche,001 Calkiní,322    Industria del papel ,9,5,4,
04 Campeche,001 Calkiní,323    Impresión e industrias conexas ,7,5,2,
04 Campeche,001 Calkiní,325    Industria química ,2,0,2,
04 Campeche,001 Calkiní,326    Industria del plástico y del hule ,1,0,1,
04 Campeche,001 Calkiní,327    Fabricación de productos a base de minerales no metálicos ,9,9,0,
04 Campeche,001 Calkiní,332    Fabricación de productos metálicos ,55,52,3,
04 Campeche,001 Calkiní,335    Fabricación de accesorios aparatos eléctricos y equipo de generación de energía eléctrica ,1,1,0,
04 Campeche,001 Calkiní,337    Fabricación de muebles colchones y persianas ,32,32,0,
04 Campeche,001 Calkiní,339    Otras industrias manufactureras ,20,7,13,
10 Durango,001 Canatlán,311    Industria alimentaria ,84,48,36,
10 Durango,001 Canatlán,312    Industria de las bebidas y del tabaco ,7,7,0,
10 Durango,001 Canatlán,315    Fabricación de prendas de vestir ,1,0,1,
10 Durango,001 Canatlán,321    Industria de la madera ,3,3,0,
10 Durango,001 Canatlán,323    Impresión e industrias conexas ,2,2,0,
10 Durango,001 Canatlán,327    Fabricación de productos a base de minerales no metálicos ,12,12,0,
10 Durango,001 Canatlán,332    Fabricación de productos metálicos ,21,18,3,
10 Durango,001 Canatlán,336    Fabricación de equipo de transporte ,266,266,0,
10 Durango,001 Canatlán,337    Fabricación de muebles colchones y persianas ,17,17,0,
03 Baja california sur,001 Comondú,311    Industria alimentaria ,1349,849,500,
03 Baja california sur,001 Comondú,312    Industria de las bebidas y del tabaco ,129,109,20,
03 Baja california sur,001 Comondú,314    Fabricación de productos textiles excepto prendas de vestir ,2,1,1,
03 Baja california sur,001 Comondú,315    Fabricación de prendas de vestir ,28,4,24,
03 Baja california sur,001 Comondú,321    Industria de la madera ,11,9,2,
03 Baja california sur,001 Comondú,322    Industria del papel ,1,0,1,
03 Baja california sur,001 Comondú,323    Impresión e industrias conexas ,25,19,6,
03 Baja california sur,001 Comondú,325    Industria química ,4,3,1,
03 Baja california sur,001 Comondú,326    Industria del plástico y del hule ,12,11,1,
03 Baja california sur,001 Comondú,327    Fabricación de productos a base de minerales no metálicos ,86,82,4,
03 Baja california sur,001 Comondú,332    Fabricación de productos metálicos ,97,93,4,
03 Baja california sur,001 Comondú,336    Fabricación de equipo de transporte ,5,3,2,
03 Baja california sur,001 Comondú,337    Fabricación de muebles colchones y persianas ,28,26,2,
03 Baja california sur,001 Comondú,339    Otras industrias manufactureras ,4,0,4,
23 Quintana roo,001 Cozumel,311    Industria alimentaria ,260,151,109,
23 Quintana roo,001 Cozumel,312    Industria de las bebidas y del tabaco ,80,66,14,
23 Quintana roo,001 Cozumel,314    Fabricación de productos textiles excepto prendas de vestir ,8,4,4,
23 Quintana roo,001 Cozumel,315    Fabricación de prendas de vestir ,59,25,34,
23 Quintana roo,001 Cozumel,321    Industria de la madera ,46,40,6,
23 Quintana roo,001 Cozumel,322    Industria del papel ,6,3,3,
23 Quintana roo,001 Cozumel,323    Impresión e industrias conexas ,65,40,25,
23 Quintana roo,001 Cozumel,325    Industria química ,19,17,2,
23 Quintana roo,001 Cozumel,327    Fabricación de productos a base de minerales no metálicos ,69,67,2,
23 Quintana roo,001 Cozumel,332    Fabricación de productos metálicos ,138,127,11,
23 Quintana roo,001 Cozumel,336    Fabricación de equipo de transporte ,1,1,0,
23 Quintana roo,001 Cozumel,337    Fabricación de muebles colchones y persianas ,33,30,3,
23 Quintana roo,001 Cozumel,339    Otras industrias manufactureras ,8,5,3,
02 Baja california,001 Ensenada,311    Industria alimentaria ,2068,1183,885,
02 Baja california,001 Ensenada,312    Industria de las bebidas y del tabaco ,564,433,131,
02 Baja california,001 Ensenada,313    Fabricación de insumos textiles y acabado de textiles ,2,2,0,
02 Baja california,001 Ensenada,314    Fabricación de productos textiles excepto prendas de vestir ,370,191,179,
02 Baja california,001 Ensenada,315    Fabricación de prendas de vestir ,6521,2579,3942,
02 Baja california,001 Ensenada,316    Curtido y acabado de cuero y piel y fabricación de productos de cuero piel y materiales sucedáneos ,2,1,1,
02 Baja california,001 Ensenada,321    Industria de la madera ,123,108,15,
02 Baja california,001 Ensenada,322    Industria del papel ,36,13,23,
02 Baja california,001 Ensenada,323    Impresión e industrias conexas ,416,259,157,
02 Baja california,001 Ensenada,324    Fabricación de productos derivados del petróleo y del carbón ,5,3,2,
02 Baja california,001 Ensenada,325    Industria química ,85,42,43,
02 Baja california,001 Ensenada,326    Industria del plástico y del hule ,740,464,276,
02 Baja california,001 Ensenada,327    Fabricación de productos a base de minerales no metálicos ,427,397,30,
02 Baja california,001 Ensenada,331    Industrias metálicas básicas ,7,7,0,
