Instituto Nacional de Estadística y Geografía,,,,,,,
INEGI. Censos Económicos 2004. Resultados definitivos,,,,,,,
Fecha de consulta: 25/08/2021 03:43:30 p. m.,,,,,,,
,,,,,,,
Entidad,Municipio,Actividad Económica,UE UNIDADES ECONÓMICAS,H001A Personal ocupado total,"H001B Personal ocupado total, hombres","H001C Personal ocupado total, mujeres",
25 Sinaloa,001 Ahome,332    Fabricación de productos metálicos                                                                                                                                                                      ,    213 ,445,415,30,
25 Sinaloa,001 Ahome,333    Fabricación de maquinaria y equipo                                                                                                                                                                      ,     10 ,833,645,188,
25 Sinaloa,001 Ahome,336    Fabricación de equipo de transporte                                                                                                                                                                     ,      * ,2161,950,1211,
25 Sinaloa,001 Ahome,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,     82 ,213,191,22,
25 Sinaloa,001 Ahome,339    Otras industrias manufactureras                                                                                                                                                                         ,     24 ,191,168,23,
24 San Luis Potosí,001 Ahualulco,311    Industria alimentaria                                                                                                                                                                                   ,      * ,63,27,36,
24 San Luis Potosí,001 Ahualulco,314    Confección de productos textiles excepto prendas de vestir                                                                                                                                             ,      * ,9,4,5,
24 San Luis Potosí,001 Ahualulco,321    Industria de la madera                                                                                                                                                                                  ,      * ,3,3,0,
24 San Luis Potosí,001 Ahualulco,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,      * ,2,2,0,
24 San Luis Potosí,001 Ahualulco,332    Fabricación de productos metálicos                                                                                                                                                                      ,      * ,3,2,1,
24 San Luis Potosí,001 Ahualulco,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,      * ,1,1,0,
08 Chihuahua,001 Ahumada,311    Industria alimentaria                                                                                                                                                                                   ,     13 ,47,36,11,
08 Chihuahua,001 Ahumada,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,      * ,6,5,1,
08 Chihuahua,001 Ahumada,313    Fabricación de insumos textiles                                                                                                                                                                         ,      * ,8,7,1,
08 Chihuahua,001 Ahumada,315    Fabricación de prendas de vestir                                                                                                                                                                        ,      * ,5,0,5,
08 Chihuahua,001 Ahumada,323    Impresión e industrias conexas                                                                                                                                                                          ,      * ,1,1,0,
08 Chihuahua,001 Ahumada,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,      * ,4,4,0,
08 Chihuahua,001 Ahumada,332    Fabricación de productos metálicos                                                                                                                                                                      ,      7 ,13,13,0,
08 Chihuahua,001 Ahumada,333    Fabricación de maquinaria y equipo                                                                                                                                                                      ,      * ,289,103,186,
08 Chihuahua,001 Ahumada,334    Fabricación de equipo de computación comunicación medición y de otros equipos componentes y accesorios electrónicos                                                                                  ,      * ,220,191,29,
08 Chihuahua,001 Ahumada,335    Fabricación de equipo de generación eléctrica y aparatos y accesorios eléctricos                                                                                                                        ,      * ,1,1,0,
08 Chihuahua,001 Ahumada,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,      * ,6,6,0,
17 Morelos,001 Amacuzac,311    Industria alimentaria                                                                                                                                                                                   ,     13 ,33,16,17,
17 Morelos,001 Amacuzac,315    Fabricación de prendas de vestir                                                                                                                                                                        ,      * ,10,4,6,
17 Morelos,001 Amacuzac,323    Impresión e industrias conexas                                                                                                                                                                          ,      * ,1,1,0,
17 Morelos,001 Amacuzac,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,      * ,4,3,1,
17 Morelos,001 Amacuzac,332    Fabricación de productos metálicos                                                                                                                                                                      ,      * ,13,13,0,
17 Morelos,001 Amacuzac,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,      * ,3,3,0,
29 Tlaxcala,001 Amaxac de Guerrero,311    Industria alimentaria                                                                                                                                                                                   ,     30 ,62,20,42,
29 Tlaxcala,001 Amaxac de Guerrero,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,      * ,2,2,0,
29 Tlaxcala,001 Amaxac de Guerrero,315    Fabricación de prendas de vestir                                                                                                                                                                        ,      5 ,19,5,14,
29 Tlaxcala,001 Amaxac de Guerrero,316    Fabricación de productos de cuero piel y materiales sucedáneos excepto prendas de vestir                                                                                                              ,      * ,5,4,1,
29 Tlaxcala,001 Amaxac de Guerrero,321    Industria de la madera                                                                                                                                                                                  ,      5 ,9,8,1,
